,partner,total_charges
711,No,1519.0
712,No,116405.0
713,Yes,17109.0
714,No,424555.0
715,Yes,41459.0
716,No,26643.0
717,No,12775.0
718,Yes,55893.0
719,Yes,3475.0
720,Yes,130595.0
721,Yes,3813.0
722,No,1415.0
723,Yes,310555.0
724,Yes,20455.0
725,No,6059.0
726,Yes,3561.0
727,No,275815.0
728,No,480565.0
729,No,39417.0
730,No,9275.0
731,Yes,190105.0
732,Yes,57307.0
733,Yes,24234.0
734,Yes,165345.0
735,No,332705.0
736,Yes,70855.0
737,No,33441.0
738,Yes,669735.0
739,No,28799.0
740,No,1371.0
741,No,100855.0
742,Yes,15516.0
743,No,20215.0
744,Yes,788225.0
745,Yes,81964.0
746,No,2029.0
747,Yes,8551.0
748,No,5817.0
749,No,165295.0
750,Yes,560015.0
751,Yes,51575.0
752,Yes,1905.0
753,No,18428.0
754,No,12538.0
755,No,572.0
756,No,126955.0
757,Yes,65634.0
758,No,208.0
759,No,190785.0
760,Yes,20885.0
761,Yes,47588.0
762,Yes,12926.0
763,No,36315.0
764,No,160025.0
765,No,2757.0
766,No,30891.0
767,Yes,11756.0
768,No,2373.0
769,No,144465.0
770,No,199.0
771,Yes,45415.0
772,Yes,303675.0
773,Yes,806565.0
774,Yes,925.0
775,No,18465.0
776,Yes,61523.0
777,No,895.0
778,Yes,51545.0
779,Yes,22045.0
780,Yes,15103.0
781,No,522.0
782,No,258895.0
783,No,48748.0
784,Yes,39836.0
785,Yes,20036.0
786,Yes,18324.0
787,No,490825.0
788,Yes,35902.0
789,No,5023.0
790,Yes,1466.0
791,No,23393.0
792,No,2987.0
793,Yes,14365.0
794,No,254865.0
795,Yes,5074.0
796,Yes,20.0
797,No,61254.0
798,Yes,54114.0
799,No,105825.0
800,Yes,9038.0
801,Yes,30095.0
802,No,48945.0
803,Yes,546845.0
804,No,10581.0
805,Yes,7616.0
806,Yes,41131.0
807,No,6955.0
808,No,601765.0
809,No,725015.0
810,Yes,11082.0
811,Yes,93865.0
812,No,9415.0
813,No,208805.0
814,No,1787.0
815,Yes,565675.0
816,Yes,23171.0
817,Yes,598645.0
818,Yes,675135.0
819,Yes,35666.0
820,No,48893.0
821,No,3181.0
822,No,156395.0
823,Yes,143025.0
824,Yes,64435.0
825,Yes,37245.0
826,Yes,54534.0
827,Yes,14426.0
828,Yes,56107.0
829,Yes,96395.0
830,Yes,52223.0
831,Yes,334055.0
832,No,2928.0
833,Yes,577455.0
834,Yes,44873.0
835,No,444.0
836,No,285495.0
837,No,90555.0
838,No,55093.0
839,Yes,75898.0
840,Yes,2296.0
841,No,3941.0
842,No,899.0
843,Yes,29595.0
844,No,54592.0
845,Yes,44475.0
846,Yes,678215.0
847,Yes,651045.0
848,Yes,84765.0
849,No,446185.0
850,No,62.0
851,No,35265.0
852,No,14249.0
853,No,641365.0
854,No,630965.0
855,No,508.0
856,Yes,58986.0
857,Yes,471975.0
858,No,4573.0
859,Yes,58223.0
860,Yes,14635.0
861,No,3074.0
862,No,210455.0
863,Yes,31915.0
864,Yes,233745.0
865,No,1043.0
866,Yes,508465.0
867,No,12125.0
868,Yes,70159.0
869,Yes,5598.0
870,No,12691.0
871,No,30274.0
872,No,463435.0
873,No,11395.0
874,No,158275.0
875,No,3077.0
876,No,40395.0
877,No,16652.0
878,No,10433.0
879,No,5042.0
880,No,49755.0
881,Yes,751165.0
882,Yes,1782.0
883,No,2005.0
884,No,60965.0
885,No,28576.0
886,Yes,324755.0
887,Yes,621535.0
888,Yes,2823.0
889,Yes,50179.0
890,No,261925.0
891,No,246.0
892,Yes,49651.0
893,No,26797.0
894,Yes,831055.0
895,No,568225.0
896,No,112095.0
897,Yes,49149.0
898,No,2755.0
899,No,9235.0
900,No,162565.0
901,Yes,606865.0
902,Yes,53986.0
903,No,9186.0
904,No,23485.0
905,No,123185.0
906,No,1709.0
907,No,798415.0
908,No,68865.0
909,No,12883.0
910,Yes,78485.0
911,No,267.0
912,Yes,17989.0
913,Yes,7355.0
914,No,164355.0
915,No,480745.0
916,No,2193.0
917,No,22394.0
918,Yes,15059.0
919,No,25535.0
920,Yes,11894.0
921,Yes,478615.0
922,No,18209.0
923,Yes,240415.0
924,No,20505.0
925,No,9523.0
926,Yes,703945.0
927,Yes,253805.0
928,No,121285.0
929,No,26511.0
930,Yes,13048.0
931,No,3601.0
932,No,43545.0
933,Yes,30805.0
934,No,4345.0
935,Yes,71189.0
936,No,32045.0
937,No,53155.0
938,No,3822.0
939,No,2001.0
940,Yes,49197.0
941,Yes,56458.0
942,No,2158.0
943,Yes,776.0
944,Yes,289655.0
945,No,33958.0
946,Yes,75935.0
947,No,8515.0
948,No,53555.0
949,No,125315.0
950,No,95515.0
951,No,21626.0
952,Yes,447.0
953,Yes,181335.0
954,No,24515.0
955,No,20288.0
956,Yes,272375.0
957,Yes,22045.0
958,No,3658.0
959,Yes,55195.0
960,No,40542.0
961,No,457.0
962,No,83235.0
963,No,1123.0
964,No,6065.0
965,No,55501.0
966,No,1748.0
967,No,9055.0
968,Yes,47331.0
969,No,404895.0
970,Yes,13597.0
971,Yes,454235.0
972,No,753215.0
973,No,699.0
974,No,88865.0
975,Yes,638335.0
976,Yes,1916.0
977,No,413.0
978,Yes,80895.0
979,No,18864.0
980,No,866.0
981,Yes,167925.0
982,Yes,26565.0
983,No,54095.0
984,Yes,35577.0
985,No,1975.0
986,No,53735.0
987,Yes,6788.0
988,Yes,451365.0
989,No,142385.0
990,Yes,5554.0
991,Yes,22555.0
992,No,26845.0
993,No,29175.0
994,No,24161.0
995,No,42445.0
996,Yes,14921.0
997,No,1324.0
998,No,6609.0
999,Yes,189395.0
1000,Yes,2849.0
1001,No,78425.0
1002,No,4177.0
1003,Yes,501625.0
1004,No,161275.0
1005,No,11975.0
1006,Yes,320465.0
1007,Yes,4852.0
1008,No,16085.0
1009,Yes,414525.0
1010,No,82745.0
1011,No,495.0
1012,Yes,99085.0
1013,Yes,69635.0
1014,Yes,55854.0
1015,No,16012.0
1016,No,16245.0
1017,No,4702.0
1018,Yes,2066.0
1019,Yes,142645.0
1020,No,3925.0
1021,Yes,386145.0
1022,No,25529.0
1023,Yes,666835.0
1024,No,8194.0
1025,No,461525.0
1026,Yes,20706.0
1027,Yes,27375.0
1028,Yes,19571.0
1029,No,72995.0
1030,Yes,141675.0
1031,Yes,59244.0
1032,No,16977.0
1033,Yes,784985.0
1034,No,6494.0
1035,Yes,45575.0
1036,Yes,301305.0
1037,No,12661.0
1038,No,36035.0
1039,Yes,10465.0
1040,Yes,23479.0
1041,No,44775.0
1042,Yes,420995.0
1043,No,387765.0
1044,No,1523.0
1045,No,5722.0
1046,No,1965.0
1047,No,52695.0
1048,Yes,5527.0
1049,No,320865.0
1050,No,21075.0
1051,Yes,370695.0
1052,No,62075.0
1053,No,4125.0
1054,No,83205.0
1055,Yes,18555.0
1056,No,19432.0
1057,Yes,5059.0
1058,Yes,804685.0
1059,Yes,18153.0
1060,No,61295.0
1061,No,79515.0
1062,No,21698.0
1063,Yes,9731.0
1064,Yes,22102.0
1065,Yes,485375.0
1066,No,10559.0
1067,No,14455.0
1068,No,911.0
1069,No,130485.0
1070,No,713.0
1071,No,211.0
1072,Yes,55808.0
1073,Yes,14979.0
1074,No,452745.0
1075,No,459035.0
1076,Yes,2002.0
1077,No,61445.0
1078,Yes,45649.0
1079,No,17115.0
1080,Yes,10124.0
1081,No,94035.0
1082,No,10477.0
1083,No,27664.0
1084,Yes,162245.0
1085,No,112935.0
1086,No,56809.0
1087,No,22439.0
1088,Yes,452325.0
1089,Yes,71597.0
1090,Yes,283995.0
1091,No,8055.0
1092,Yes,5801.0
1093,Yes,21786.0
1094,Yes,603855.0
1095,Yes,2594.0
1096,No,32415.0
1097,Yes,41765.0
1098,Yes,16815.0
1099,Yes,563785.0
1100,No,8394.0
1101,Yes,7691.0
1102,No,6253.0
1103,Yes,16418.0
1104,No,167805.0
1105,Yes,20585.0
1106,No,24245.0
1107,No,3872.0
1108,No,629345.0
1109,Yes,283965.0
1110,Yes,31459.0
1111,No,22007.0
1112,No,9144.0
1113,No,457775.0
1114,Yes,49975.0
1115,Yes,41448.0
1116,No,149355.0
1117,No,41791.0
1118,No,89355.0
1119,Yes,1611.0
1120,No,59305.0
1121,Yes,42848.0
1122,No,54455.0
1123,Yes,15338.0
1124,No,5298.0
1125,No,38656.0
1126,Yes,51575.0
1127,Yes,941.0
1128,Yes,113365.0
1129,No,4835.0
1130,Yes,207005.0
1131,Yes,833395.0
1132,Yes,120925.0
1133,Yes,139625.0
1134,Yes,72335.0
1135,Yes,22865.0
1136,No,116175.0
1137,No,9835.0
1138,Yes,7753.0
1139,Yes,107465.0
1140,No,3555.0
1141,Yes,23247.0
1142,No,10726.0
1143,No,1705.0
1144,No,1969.0
1145,Yes,116285.0
1146,No,167785.0
1147,No,1885.0
1148,No,3704.0
1149,Yes,34106.0
1150,Yes,11388.0
1151,Yes,526425.0
1152,No,10057.0
1153,Yes,593655.0
1154,Yes,54759.0
1155,Yes,22405.0
1156,Yes,232605.0
1157,No,3135.0
1158,No,49915.0
1159,No,10524.0
1160,Yes,58312.0
1161,No,5108.0
1162,No,28395.0
1163,No,12954.0
1164,Yes,1965.0
1165,No,301165.0
1166,Yes,809315.0
1167,Yes,561025.0
1168,Yes,321765.0
1169,No,1985.0
1170,No,7732.0
1171,No,102935.0
1172,No,66945.0
1173,No,35938.0
1174,No,155395.0
1175,Yes,395315.0
1176,No,197115.0
1177,No,123615.0
1178,No,3196.0
1179,Yes,48722.0
1180,Yes,15005.0
1181,No,6015.0
1182,Yes,347875.0
1183,No,741355.0
1184,No,3532.0
1185,No,25675.0
1186,No,388725.0
1187,Yes,249015.0
1188,No,59345.0
1189,No,35103.0
1190,No,76545.0
1191,Yes,125935.0
1192,Yes,553835.0
1193,Yes,34085.0
1194,No,84445.0
1195,Yes,134895.0
1196,No,3778.0
1197,No,61165.0
1198,Yes,486795.0
1199,No,150505.0
1200,Yes,46785.0
1201,No,749.0
1202,No,1942.0
1203,No,57145.0
1204,No,8025.0
1205,Yes,525395.0
1206,Yes,114965.0
1207,Yes,7408.0
1208,No,52135.0
1209,Yes,141265.0
1210,No,153245.0
1211,Yes,25005.0
1212,Yes,10906.0
1213,Yes,14468.0
1214,No,228255.0
1215,Yes,430045.0
1216,No,11112.0
1217,No,1901.0
1218,Yes,444775.0
1219,No,14335.0
1220,Yes,4585.0
1221,Yes,8102.0
1222,Yes,183005.0
1223,No,282065.0
1224,Yes,484735.0
1225,Yes,47293.0
1226,Yes,401745.0
1227,No,13986.0
1228,Yes,25643.0
1229,Yes,16859.0
1230,No,582665.0
1231,Yes,606655.0
1232,No,2284.0
1233,No,2702.0
1234,No,15292.0
1235,Yes,1686.0
1236,No,53635.0
1237,No,188845.0
1238,Yes,62935.0
1239,No,453.0
1240,No,2893.0
1241,Yes,211725.0
1242,Yes,47309.0
1243,Yes,203305.0
1244,No,98795.0
1245,No,4505.0
1246,Yes,574435.0
1247,No,758.0
1248,No,1945.0
1249,No,52315.0
1250,Yes,48053.0
1251,No,5905.0
1252,Yes,611075.0
1253,No,15966.0
1254,No,10462.0
1255,No,44242.0
1256,No,9275.0
1257,Yes,19455.0
1258,Yes,6121.0
1259,Yes,61276.0
1260,Yes,66717.0
1261,No,52643.0
1262,No,3037.0
1263,Yes,48188.0
1264,Yes,644805.0
1265,Yes,715905.0
1266,Yes,15745.0
1267,No,28792.0
1268,Yes,8605.0
1269,Yes,415945.0
1270,Yes,663835.0
1271,Yes,311205.0
1272,Yes,716825.0
1273,Yes,132625.0
1274,Yes,223455.0
1275,Yes,49515.0
1276,Yes,831795.0
1277,No,6798.0
1278,No,628.0
1279,Yes,7544.0
1280,Yes,118825.0
1281,Yes,6767.0
1282,No,741.0
1283,Yes,32425.0
1284,No,124015.0
1285,No,411135.0
1286,Yes,589985.0
1287,Yes,63295.0
1288,No,51932.0
1289,Yes,75308.0
1290,No,27095.0
1291,Yes,54602.0
1292,No,16142.0
1293,No,4025.0
1294,Yes,136775.0
1295,Yes,4837.0
1296,Yes,79622.0
1297,Yes,38108.0
1298,Yes,35336.0
1299,Yes,13969.0
1300,Yes,134555.0
1301,No,164645.0
1302,No,81276.0
1303,No,268015.0
1304,No,1281.0
1305,No,15539.0
1306,Yes,320755.0
1307,Yes,204905.0
1308,No,36292.0
1309,Yes,512455.0
1310,Yes,347445.0
1311,Yes,2023.0
1312,No,1475.0
1313,No,8635.0
1314,No,579.0
1315,No,1945.0
1316,Yes,313155.0
1317,Yes,39283.0
1318,Yes,18775.0
1319,Yes,171015.0
1320,Yes,7635.0
1321,No,6925.0
1322,Yes,21516.0
1323,Yes,59611.0
1324,Yes,122155.0
1325,Yes,149645.0
1326,Yes,12922.0
1327,No,2515.0
1328,No,17131.0
1329,No,17489.0
1330,No,252.0
1331,No,9645.0
1332,Yes,111455.0
1333,No,6091.0
1334,No,2015.0
1335,Yes,713325.0
1336,No,16945.0
1337,No,563255.0
1338,No,1416.0
1339,Yes,468865.0
1340,Yes,56305.0
1341,Yes,5985.0
1342,Yes,12586.0
1343,No,3735.0
1344,Yes,8572.0
1345,Yes,255335.0
1346,Yes,432285.0
1347,Yes,2508.0
1348,Yes,454905.0
1349,Yes,13595.0
1350,No,16393.0
1351,No,17885.0
1352,No,63385.0
1353,Yes,53151.0
1354,No,7355.0
1355,No,8899.0
1356,No,1290.0
1357,No,33005.0
1358,No,23795.0
1359,Yes,64744.0
1360,Yes,442195.0
1361,Yes,24527.0
1362,Yes,81385.0
1363,Yes,490485.0
1364,No,448405.0
1365,No,203385.0
1366,No,5382.0
1367,No,792.0
1368,No,21929.0
1369,No,1985.0
1370,Yes,385805.0
1371,Yes,8548.0
1372,No,3474.0
1373,Yes,581515.0
