customerid,Unnamed: 0,partner,tenure,monthlycharges,totalcharges
6614-FHDBO,241,No,72,109.2,7878.3
7576-ASEJU,242,Yes,41,74.7,3187.65
9058-HRZSV,243,Yes,65,94.4,6126.15
4522-AKYLR,244,No,13,54.8,731.3
0303-UNCIP,246,No,41,65.0,2531.8
9947-OTFQU,247,No,15,74.4,1074.3
0959-WHOKV,249,No,42,99.0,4298.45
4075-JFPGR,250,Yes,51,93.5,4619.55
3282-ZISZV,253,No,32,83.7,2633.3
4111-BNXIF,255,Yes,67,59.55,4103.9
7017-VFHAY,256,Yes,61,115.1,7008.15
6655-LHBYW,257,No,50,114.35,5791.1
3606-TWKGI,261,No,13,106.9,1364.3
7529-ZDFXI,262,Yes,57,89.85,4925.35
1950-KSVVJ,264,Yes,45,113.3,5032.25
0123-CRBRT,265,Yes,61,88.1,5526.75
3197-ARFOY,267,No,19,105.0,2007.25
4385-GZQXV,270,No,16,94.45,1511.2
7633-MVPUY,271,Yes,57,59.75,3450.15
4716-HHKQH,273,Yes,20,107.05,2172.05
4484-GLZOU,276,Yes,52,105.05,5624.85
3179-GBRWV,277,Yes,21,64.95,1339.8
8645-KWHJO,278,No,14,55.0,771.95
9577-WJVCQ,283,No,68,54.45,3687.75
9512-UIBFX,284,Yes,18,95.15,1779.95
6202-DYYFX,285,No,22,76.0,1783.6
7534-BFESC,290,No,24,76.1,1712.7
3727-OWVYD,291,No,35,61.2,2021.2
2294-SALNE,292,Yes,23,86.8,1940.8
6556-DBKZF,296,Yes,71,76.05,5436.45
6851-WEFYX,297,Yes,35,100.8,3437.5
2985-JUUBZ,298,Yes,40,74.55,3015.75
0895-LMRSF,300,No,23,64.9,1509.8
8181-YHCMF,303,Yes,68,60.3,4109
2240-HSJQD,304,No,38,81.85,3141.7
0265-EDXBD,306,Yes,32,74.9,2303.35
4115-BNPJY,307,Yes,29,75.55,2054.4
3167-SNQPL,308,Yes,38,101.15,3741.85
4091-TVOCN,309,No,48,78.75,3682.45
7277-OZCGZ,311,No,22,89.05,1886.25
1557-EMYVT,312,No,43,115.05,4895.1
5027-YOCXN,315,Yes,51,110.05,5686.4
2321-OMBXY,317,Yes,38,80.3,3058.65
2840-XANRC,318,Yes,24,93.15,2231.05
6745-JEFZB,319,Yes,35,91.5,3236.35
5020-ZSTTY,320,No,54,82.45,4350.1
9880-TDQAC,321,Yes,72,60.0,4264
8626-PTQGE,324,No,69,60.05,4176.7
4983-CLMLV,325,Yes,52,102.7,5138.1
5701-YVSVF,326,Yes,11,82.9,880.05
2739-CACDQ,329,No,17,82.65,1470.05
2379-GYFLQ,332,No,46,94.9,4422.95
4322-RCYMT,335,Yes,68,75.8,5293.95
6680-NENYN,336,No,43,104.6,4759.85
2088-IEBAU,337,No,68,88.15,6148.45
7982-VCELR,338,No,36,94.8,3565.65
1343-EHPYB,339,Yes,63,103.4,6603
6035-BXTTY,340,No,32,54.65,1830.1
6885-PKOAM,341,Yes,71,85.75,6223.8
7520-HQWJU,342,Yes,66,67.45,4508.65
4654-DLAMQ,349,Yes,64,97.0,6430.9
0513-RBGPE,350,Yes,37,62.8,2278.75
3351-NGXYI,356,No,16,54.1,889
8984-EYLLL,357,Yes,64,105.25,6823.4
9833-TGFHX,359,Yes,42,97.1,4016.75
5229-DTFYB,361,No,41,98.8,3959.15
0104-PPXDV,362,Yes,58,50.3,2878.55
3583-KRKMD,364,No,18,75.9,1373.05
9069-LGEUL,366,Yes,23,59.95,1406
9571-EDEBV,368,Yes,71,98.65,6962.85
3520-FJGCV,369,Yes,72,112.6,8126.65
2805-EDJPQ,373,Yes,56,99.75,5608.4
6862-CQUMB,374,No,37,96.1,3646.8
7156-MXBJE,375,No,43,85.1,3662.25
9601-BRXPO,377,Yes,25,104.95,2566.5
2863-IMQDR,378,No,61,89.65,5308.7
5686-CMAWK,379,No,17,86.75,1410.25
5651-CRHKQ,380,Yes,41,86.2,3339.05
8204-YJCLA,382,Yes,72,64.8,4732.35
6583-SZVGP,384,No,48,108.1,5067.45
0533-BNWKF,386,Yes,55,85.45,4874.7
1708-PBBOA,387,No,42,54.75,2348.45
8782-LKFPK,388,No,44,90.4,4063
3597-MVHJT,390,No,27,95.6,2595.25
9774-NRNAU,391,Yes,27,84.8,2309.55
3951-NJCVI,394,Yes,42,95.05,3944.5
2977-CEBSX,395,No,66,90.05,5965.95
0177-PXBAT,396,Yes,33,109.9,3694.7
6599-CEBNN,397,No,34,73.95,2524.45
2519-ERQOJ,398,No,33,54.6,1803.7
0979-PHULV,402,Yes,69,99.45,7007.6
3067-SVMTC,403,Yes,68,55.9,3848.8
4742-DRORA,406,Yes,60,95.4,5812
0111-KLBQG,407,Yes,32,93.95,2861.45
5233-AOZUF,412,Yes,29,74.95,2149.05
5973-EJGDP,413,No,51,87.35,4473
1996-DBMUS,414,Yes,48,70.65,3545.05
7916-VCCPB,415,Yes,16,73.25,1195.75
4686-GEFRM,416,Yes,70,98.7,6858.9
0578-SKVMF,418,Yes,22,83.3,1845.9
7663-ZTEGJ,422,No,29,100.55,2830.45
2055-SIFSS,425,Yes,55,51.65,2838.55
2806-MLNTI,426,Yes,52,105.1,5376.4
4360-PNRQB,428,No,18,75.6,1395.05
6152-ONASV,429,Yes,68,58.25,3975.7
7781-HVGMK,431,Yes,72,65.2,4784.45
4376-KFVRS,437,Yes,72,114.05,8468.2
5886-VLQVU,438,Yes,35,89.85,3161.2
0771-WLCLA,440,Yes,16,112.95,1882.55
5628-RKIFK,441,No,49,101.55,5070.4
0206-TBWLC,442,Yes,54,114.65,6049.5
2937-FTHUR,443,No,18,64.8,1166.7
1910-FMXJM,444,Yes,36,80.4,2937.65
7752-XUSCI,445,No,60,105.9,6396.45
1090-ESELR,449,Yes,72,105.5,7611.55
5760-WRAHC,451,No,22,69.75,1545.4
8847-GEOOQ,452,Yes,60,60.2,3582.4
0256-LTHVJ,453,Yes,28,81.05,2227.1
8313-NDOIA,455,No,24,104.15,2494.65
5149-CUZUJ,456,Yes,28,92.9,2768.35
0942-KOWSM,457,Yes,30,80.8,2369.3
6614-VBEGU,461,Yes,24,69.45,1614.05
1480-BKXGA,464,Yes,72,116.05,8404.9
9076-AXYIK,466,Yes,64,102.1,6538.45
5968-XQIVE,467,Yes,72,89.7,6588.95
4640-UHDOS,469,Yes,13,55.95,734.35
4104-PVRPS,473,Yes,24,53.6,1315.35
2359-KMGLI,475,No,24,80.25,1861.5
3780-DDGSE,476,Yes,35,76.05,2747.2
6227-HWPWX,479,No,15,69.0,994.8
4612-SSVHJ,482,No,20,81.45,1671.6
5168-MQQCA,483,Yes,72,108.5,8003.8
7971-HLVXI,485,Yes,72,84.5,6130.85
9094-AZPHK,486,No,15,100.15,1415
3649-JPUGY,487,No,72,88.6,6201.95
3552-CTCYF,490,Yes,63,104.8,6597.25
5756-OZRIO,493,Yes,61,64.05,3902.6
4134-BSXLX,496,Yes,28,60.9,1785.65
7783-YKGDV,499,No,12,99.7,1238.45
4374-YMUSQ,500,No,34,116.25,3899.05
4513-CXYIX,501,Yes,71,80.7,5676
3957-HHLMR,502,Yes,70,65.2,4543.15
7803-XOCCZ,503,Yes,52,84.05,4326.8
5736-YEJAX,504,No,69,79.45,5502.55
5609-CEBID,505,No,20,94.1,1782.4
8981-FJGLA,506,No,11,78.0,851.8
4332-MUOEZ,510,Yes,20,94.3,1818.3
8535-SFUTN,511,No,61,106.45,6300.15
8677-HDZEE,513,No,56,105.45,5916.95
2475-MROZF,514,No,30,95.0,2852.4
9412-GHEEC,515,No,40,104.8,4131.95
3482-ABPKK,516,No,28,54.3,1546.3
0257-ZESQC,518,Yes,27,75.2,1929.35
5174-ITUMV,520,Yes,67,105.4,6989.45
4109-CYRBD,521,Yes,29,51.6,1442
0913-XWSCN,522,Yes,55,85.5,4713.4
6825-UYPFK,523,No,23,75.6,1758.6
8397-MVTAZ,524,Yes,34,100.05,3480
0750-EBAIU,525,No,52,91.25,4738.3
8606-CIQUL,526,Yes,72,115.75,8399.15
3571-DPYUH,527,Yes,58,94.7,5430.35
0356-OBMAC,529,No,56,99.9,5706.3
1297-VQDRP,533,Yes,68,107.15,7379.8
5348-CAGXB,535,No,12,89.55,1021.75
0621-HJWXJ,536,Yes,63,81.55,5029.05
5844-QVTAT,537,Yes,33,58.45,1955.4
8905-IAZPF,538,Yes,69,95.65,6744.2
5394-MEITZ,539,Yes,60,80.6,4946.7
6859-QNXIQ,540,Yes,72,113.1,8248.5
2782-LFZVW,541,No,11,58.95,601.6
7129-AZJDE,545,Yes,34,78.95,2647.2
6986-IJDHX,546,Yes,39,86.3,3266
2560-PPCHE,547,No,65,105.05,6744.25
4676-MQUEA,548,Yes,50,101.9,5265.5
3580-HYCSP,550,Yes,72,110.3,7966.9
1352-HNSAW,551,Yes,72,115.6,8220.4
5301-GAUUY,554,No,32,80.35,2596.15
5791-KAJFD,555,Yes,56,68.75,3808
1154-HYWWO,557,No,38,70.6,2708.2
2501-XWWTZ,558,No,11,70.2,760.05
6815-ABQFQ,560,Yes,56,107.25,6033.3
6103-LIANB,563,Yes,59,99.5,5861.75
5846-NEQVZ,565,Yes,71,70.85,4973.4
6967-QIQRV,566,Yes,15,101.9,1667.25
5781-RFZRP,567,Yes,71,73.5,5357.75
0939-YAPAF,568,No,35,100.25,3527.6
7025-WCBNE,571,No,47,59.6,2754
5756-JYOJT,572,No,11,64.9,697.25
4710-FDUIZ,573,Yes,56,100.3,5614.45
6030-REHUX,574,Yes,28,110.85,3204.4
9548-LIGTA,575,Yes,61,81.05,4747.65
5150-LJNSR,576,Yes,31,98.05,3082.1
6522-YRBXD,578,Yes,35,94.55,3365.4
4568-KNYWR,586,No,52,63.25,3342.45
0742-LAFQK,588,Yes,72,99.15,7422.1
0795-LAFGP,589,Yes,71,90.4,6668.05
0619-OLYUR,590,Yes,72,111.9,8071.05
0459-SPZHJ,592,Yes,63,83.5,5435
0215-BQKGS,593,No,30,84.3,2438.6
0719-SYFRB,595,No,12,61.65,713.75
8208-EUMTE,596,No,16,54.85,916.15
1710-RCXUS,598,Yes,51,90.35,4614.55
5839-SUYVZ,600,No,16,74.55,1170.5
1096-ADRUX,602,Yes,66,74.25,4859.25
2001-MCUUW,603,No,46,108.65,4903.2
2731-GJRDG,604,No,32,109.55,3608
4723-BEGSG,605,Yes,72,86.65,6094.25
6516-NKQBO,606,Yes,38,81.0,3084.9
8207-DMRVL,608,Yes,72,114.55,8306.05
3419-SNJJD,609,Yes,65,105.25,6786.4
6689-VRRTK,613,No,44,109.8,4860.35
7138-GIRSH,614,No,50,69.5,3418.2
7134-MJPDY,617,No,66,102.85,6976.75
5240-CAOYT,618,No,57,87.55,4884.85
0516-UXRMT,621,No,62,92.05,5755.8
4851-BQDNX,622,Yes,40,85.05,3355.65
3003-CMDUU,625,Yes,25,95.15,2395.7
5016-IBERQ,626,Yes,23,84.25,1968.1
6797-UCJHZ,627,Yes,66,104.6,6819.45
2469-DTSGX,628,No,72,111.65,7943.45
4554-YGZIH,629,Yes,49,90.05,4547.25
5099-BAILX,630,Yes,43,110.75,4687.9
9931-KGHOA,631,Yes,46,55.0,2473.95
1775-KWJKQ,632,Yes,72,89.85,6562.9
9411-TPQQV,634,No,40,54.55,2236.2
7207-RMRDB,635,Yes,65,105.5,6985.65
7954-MLBUN,636,No,31,99.45,3109.9
2077-DDHJK,637,Yes,68,70.9,4911.35
4913-EHYUI,638,Yes,56,104.55,5794.65
4580-TMHJU,641,Yes,43,56.15,2499.3
4908-XAXAY,643,No,49,89.85,4287.2
1626-ERCMM,645,Yes,20,94.55,1899.65
2391-IPLOP,647,Yes,50,69.65,3442.15
3509-GWQGF,649,No,24,70.0,1732.6
8100-PNJMH,656,Yes,68,88.85,6132.7
7838-LAZFO,657,Yes,45,78.8,3597.5
9565-FLVCG,663,Yes,65,69.55,4459.15
0214-JHPFW,669,Yes,70,57.8,4039.3
3729-OWRVL,675,No,65,110.35,7246.15
2826-UWHIS,679,Yes,45,81.4,3775.85
7501-IWUNG,681,Yes,61,73.8,4616.05
7251-LJBQN,683,No,40,103.75,4188.4
5076-YVXCM,689,No,51,83.4,4149.45
6663-JOCQO,691,Yes,31,75.25,2344.5
0078-XZMHT,696,Yes,72,85.15,6316.2
9978-HYCIN,698,Yes,47,84.95,4018.05
8338-QIUNR,699,Yes,72,66.5,4811.6
1525-LNLOJ,700,Yes,66,63.3,4189.7
9450-TRJUU,701,No,35,83.15,2848.45
1766-GKNMI,702,No,29,84.9,2516.2
7133-VBDCG,705,No,25,79.85,2015.35
7596-ZYWBB,706,No,65,59.6,3739.8
8329-UTMVM,707,No,27,104.65,2964
3014-WJKSM,708,Yes,29,75.3,2263.4
3347-YJZZE,709,Yes,29,80.1,2211.8
7929-DMBCV,711,Yes,20,81.0,1683.7
5433-KYGHE,713,No,14,86.0,1164.05
5575-TPIZQ,715,No,46,89.15,4245.55
0114-IGABW,716,Yes,71,58.25,4145.9
9944-AEXBM,717,No,32,85.65,2664.3
1853-ARAAQ,718,No,26,50.35,1277.5
6952-OMNWB,719,Yes,68,80.35,5589.3
5244-IRFIH,724,Yes,33,94.5,3105.55
2684-EIWEO,728,No,30,91.7,2758.15
2753-JMMCV,729,No,65,74.2,4805.65
6439-GTPCA,730,No,45,87.25,3941.7
1216-JWVUX,732,Yes,25,75.5,1901.05
7564-GHCVB,733,Yes,72,79.05,5730.7
1173-NOEYG,734,Yes,27,90.15,2423.4
7595-EHCDL,735,Yes,32,50.6,1653.45
6647-ZEDXT,736,No,30,110.45,3327.05
2521-NPUZR,737,Yes,70,101.0,7085.5
1307-TVUFB,738,No,42,79.35,3344.1
7503-MIOGA,739,Yes,72,89.85,6697.35
4381-MHQDC,740,No,47,65.0,2879.9
2499-AJYUA,745,Yes,72,110.8,7882.25
6919-ELBGL,746,Yes,72,114.95,8196.4
8405-IGQFX,749,No,63,90.05,5817
8224-IVVPA,750,No,27,56.7,1652.95
9477-LGWQI,751,Yes,70,80.15,5600.15
6683-VLCTZ,755,No,20,98.55,1842.8
2189-WWOEW,758,No,15,85.9,1269.55
5684-FJVYR,759,Yes,72,90.35,6563.4
1894-IGFSG,761,No,22,89.25,1907.85
1266-NZYUI,763,Yes,72,66.85,4758.8
5175-WLYXL,766,No,22,78.85,1600.25
8728-SKJLR,768,No,41,74.25,3089.1
3137-NYQQI,769,Yes,17,64.8,1175.6
0236-HFWSV,771,No,15,93.35,1444.65
2037-XJFUP,774,Yes,33,95.8,3036.75
8823-RLPWL,775,Yes,72,110.65,8065.65
3758-CKOQL,778,Yes,59,107.0,6152.3
5676-CFLYY,780,Yes,71,73.35,5154.5
0285-INHLN,782,Yes,27,54.75,1510.3
0691-IFBQW,785,No,46,110.0,4874.8
4992-LTJNE,786,Yes,72,55.3,3983.6
2202-OUTMO,787,Yes,34,60.85,2003.6
0810-BDHAW,788,Yes,24,78.4,1832.4
0229-LFJAF,789,No,72,69.65,4908.25
7131-ZQZNK,790,Yes,60,59.85,3590.2
3442-ZHHCC,791,No,68,76.9,5023
9871-ELEYA,793,No,34,67.65,2339.3
2040-OBMLJ,796,No,31,81.7,2548.65
3009-JWMPU,799,No,62,96.75,6125.4
5671-RQRLP,800,Yes,70,75.65,5411.4
3174-AKMAS,803,Yes,46,64.2,3009.5
9926-PJHDQ,805,Yes,72,76.8,5468.45
7382-DFJTU,806,No,18,55.2,1058.1
2798-NYLMZ,807,Yes,71,108.55,7616
4289-DTDKW,808,Yes,40,101.3,4113.1
2239-JALAW,810,No,58,103.25,6017.65
4853-RULSV,811,No,70,104.0,7250.15
3196-NVXLZ,815,No,25,84.6,2088.05
0036-IHMOT,817,Yes,55,103.7,5656.75
0115-TFERT,818,Yes,21,111.2,2317.1
4178-EGMON,819,Yes,70,88.0,5986.45
4220-TINQT,820,Yes,61,106.35,6751.35
5318-YKDPV,821,Yes,43,79.15,3566.6
7975-TZMLR,822,No,47,103.1,4889.3
2311-QYMUQ,825,Yes,16,89.45,1430.25
3104-OWCGK,828,Yes,60,90.95,5453.4
9101-BWFSS,830,Yes,50,108.55,5610.7
3487-EARAT,832,Yes,70,74.1,5222.3
2672-TGEFF,833,Yes,37,88.8,3340.55
4250-WAROZ,835,Yes,60,93.25,5774.55
8184-WMOFI,836,Yes,62,71.4,4487.3
6092-QZVPP,838,No,36,79.2,2854.95
0727-BMPLR,840,No,55,100.0,5509.3
0392-BZIUW,841,Yes,72,105.0,7589.8
6916-HIJSE,846,No,65,84.85,5459.2
9778-OGKQZ,848,Yes,72,92.0,6782.15
7408-OFWXJ,849,Yes,72,89.8,6510.45
6007-TCTST,850,Yes,72,115.8,8476.5
2252-NKNSI,851,No,52,85.15,4461.85
2382-BCKQJ,855,No,62,100.15,6413.65
8374-UULRV,856,No,72,86.05,6309.65
3224-DFQNQ,858,Yes,66,89.0,5898.6
5275-PMFUT,859,Yes,72,64.8,4719.75
9777-IQHWP,861,Yes,64,93.4,5822.3
0947-MUGVO,862,Yes,20,73.65,1463.5
4124-MMETB,864,No,22,94.65,2104.55
3313-QKNKB,868,Yes,59,85.55,5084.65
1937-OTUKY,870,Yes,72,98.2,7015.9
1573-LGXBA,871,Yes,57,97.55,5598
5073-WXOYN,873,No,60,50.8,3027.4
4713-ZBURT,874,No,45,99.7,4634.35
0207-MDKNV,876,No,15,105.1,1582.75
7876-AEHIG,877,No,51,60.15,3077
7945-HLKEA,878,No,60,64.75,4039.5
9342-VNIMQ,879,No,33,54.65,1665.2
3199-NPKCN,883,Yes,67,111.25,7511.65
1258-YMZNM,887,No,27,110.5,2857.6
0048-LUMLS,888,Yes,37,91.2,3247.55
7549-MYGPK,889,Yes,63,100.55,6215.35
5898-IGSLP,890,Yes,31,89.3,2823
3804-RVTGV,891,Yes,50,103.85,5017.9
6259-WJQLC,892,No,32,81.1,2619.25
7997-EASSD,894,Yes,63,81.2,4965.1
0730-KOAVE,895,No,30,94.3,2679.7
8975-SKGRX,896,Yes,71,116.1,8310.55
0678-RLHVP,897,No,53,105.55,5682.25
4315-MURBD,898,No,12,98.9,1120.95
2267-FPIMA,899,Yes,50,94.4,4914.9
2719-BDAQO,902,No,17,93.85,1625.65
5285-MVEHD,903,Yes,56,105.6,6068.65
0379-DJQHR,904,Yes,67,81.35,5398.6
0297-RBCSG,907,No,19,65.35,1231.85
0835-JKADZ,909,No,71,111.25,7984.15
7508-SMHXL,911,No,15,89.0,1288.3
3865-YIOTT,912,Yes,72,106.1,7848.5
3956-CJUST,916,No,23,75.4,1643.55
4079-WWQQQ,917,No,72,65.55,4807.45
6103-BOCOU,918,No,26,80.7,2193
5149-TGWDZ,919,No,21,104.55,2239.4
4301-VVZKA,922,Yes,16,75.4,1189.4
9199-PWQVC,923,Yes,63,79.7,4786.15
4824-GUCBY,924,No,22,81.7,1820.9
5393-HJZSM,925,Yes,32,76.3,2404.15
9625-QSTYE,927,No,13,81.15,952.3
0862-PRCBS,928,Yes,68,103.75,7039.45
8812-ZRHFP,929,Yes,30,86.45,2538.05
5146-CBVOE,930,No,16,75.1,1212.85
0454-OKRCT,931,No,33,80.6,2651.1
2692-AQCPF,938,Yes,65,108.05,7118.9
7567-ECMCM,942,No,24,79.85,2001
6115-ZTBFQ,943,Yes,72,65.5,4919.7
6353-BRMMA,944,Yes,54,104.1,5645.8
9904-EHEVJ,947,Yes,32,91.35,2896.55
7028-DVOIQ,948,No,35,99.05,3395.8
8467-WYNSR,952,No,22,55.1,1253.15
0851-DFJKB,953,No,15,58.95,955.15
5382-SOYZL,954,No,22,95.1,2162.6
4002-BQWPQ,958,No,25,81.75,2028.8
5651-YLPRD,959,Yes,32,86.1,2723.75
4849-PYRLQ,963,No,56,73.25,4054.2
3429-IFLEM,968,No,71,77.35,5550.1
5002-GCQFH,971,Yes,49,93.85,4733.1
0556-FJEGU,972,No,58,70.1,4048.95
0604-THJFP,974,Yes,59,75.95,4542.35
2834-JRTUA,975,No,71,108.05,7532.15
5879-SESNB,977,No,11,75.25,888.65
6646-QVXLR,978,Yes,62,103.75,6383.35
6461-PPAXN,979,Yes,35,54.95,1916
9369-XFEHK,985,Yes,33,80.6,2656.5
1206-EHBDD,990,Yes,56,80.3,4513.65
3842-IYKUE,995,No,35,85.3,2917.5
6641-XRPSU,996,No,34,70.0,2416.1
1989-PRJHP,1001,Yes,27,75.5,1893.95
2858-EIMXH,1005,Yes,53,95.85,5016.25
9524-EGPJC,1006,No,18,90.1,1612.75
8818-XYFCQ,1008,Yes,32,99.55,3204.65
6614-YOLAC,1011,Yes,71,58.65,4145.25
4695-VADHF,1014,Yes,18,57.45,990.85
3863-IUBJR,1015,Yes,12,53.65,696.35
7649-SIJJF,1016,Yes,71,80.1,5585.4
1452-XRSJV,1020,Yes,39,51.05,2066
3422-WJOYD,1021,Yes,28,54.35,1426.45
7460-ITWWP,1023,Yes,45,86.1,3861.45
7147-AYBAA,1024,No,37,70.35,2552.9
7868-TMWMZ,1025,Yes,60,110.0,6668.35
6732-FZUGP,1027,No,47,94.9,4615.25
8436-BJUMM,1028,Yes,26,83.75,2070.6
8329-GWVPJ,1030,Yes,50,69.75,3557.7
1352-VHKAJ,1031,Yes,27,71.6,1957.1
8146-QQKZH,1034,Yes,71,81.85,5924.4
6445-TNRXS,1036,Yes,68,114.7,7849.85
4869-EPIUS,1038,Yes,56,80.9,4557.5
9948-YPTDG,1039,Yes,38,79.45,3013.05
1236-WFCDV,1040,No,14,90.45,1266.1
7296-PIXQY,1042,Yes,14,70.2,1046.5
